title,abstract,year,venue
PLoS Computational Biology Issue Image | Vol. 17(9) October 2021.,"The tomato flowers are characterized by possessing poricidal anthers, which restrict the exit of the pollen to a tiny opening on the apex of the anther. To extract pollen efficiently, some visiting bees grasp the anthers and quickly contracting their flight muscles, producing vibrations and an audible sound. The vibrations are transferred to the anthers, shaking and stimulating the pollen inside them to leave by the pores, a phenomenon known as floral sonication or buzz-pollination. DOI: pcbi.1009426 Image Credit: Priscila de CE1;ssia Souza AraFA;jo (co-author of the manuscript) photographed this bee visiting flowers of tomato plants grown at the experimental fields of the Federal University of ViE7;osa (Minas Gerais State, Brazil). We confirm that the image can publish under the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/). The authors own the copyright for the image and confirm that agree with open Access License of PLOS Computational Biology.",2021,PLoS Computational Biology
PLoS Computational Biology Issue Image | Vol. 1(9) October 2021.,"The tomato flowers are characterized by possessing poricidal anthers, which restrict the exit of the pollen to a tiny opening on the apex of the anther. To extract pollen efficiently, some visiting bees grasp the anthers and quickly contracting their flight muscles, producing vibrations and an audible sound. The vibrations are transferred to the anthers, shaking and stimulating the pollen inside them to leave by the pores, a phenomenon known as floral sonication or buzz-pollination. DOI: pcbi.1009426 Image Credit: Priscila Souza AraFA;jo (co-author of the manuscript) photographed this bee visiting flowers of tomato plants grown at the experimental fields of the Federal University of ViE7;osa (Minas Gerais State, Brazil). We confirm that the image can publish under the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/). The authors own the copyright for the image and confirm that agree with open Access License of PLOS Computational Biology.",2021,PLoS Computational Biology
Improving reproducibility in computational biology research,"1 Department of Biomedical Engineering, University of Virginia, Charlottesville, Virginia, United States of America, 2 Department of Biomedical Engineering, Johns Hopkins University, Baltimore, Maryland, United States of America, 3 Department of Bioengineering, University of Washington, Seattle, Washington, United States of America, 4 Auckland Bioengineering Institute, University of Auckland, Auckland, New Zealand",2020,PLoS Comput. Biol.
Ten simple rules for designing learning experiences that involve enhancing computational biology Wikipedia articles,"Wikipedia is the largest and most visited encyclopedia on the World Wide Web [1]. Wikipedia is frequently accessed as an educational resource in computational biology, with the articles on Bioinformatics and CRISPR being viewed 413,000 and 1.18 million times, respectively, in 2019 [2]. However, academics remain skeptical of Wikipedia as a reliable source of knowledge [3]. A common complaint by educators is the perceived lack of quality of information found on Wikipedia. Some educators also worry that the platform discourages deeper learner engagement, providing learners with a crutch instead of ways to engage in rigorous, secondary research within a discipline. Both of these concerns often overshadow the advantages of free and readily available knowledge. Given that Wikipedia is one of the most visited websites and an established platform for knowledge seekers, it makes sense to address these concerns and help learners make the most of what they would do anyway. Mentored contributions from students to open platforms like Wikipedia offer opportunities for improved rigor, quality, depth, and reliability of the information indexed and make it relatable to a wide audience. There have been stellar examples of such mentored contributions, resulting in well-curated additions to domain-specific knowledge amenable for consumption by both public and specialist audiences. For instance, educators around the world have mentored students to either improve or create Wikipedia articles and enter the annual International Society for Computational Biology (ISCB) Wikipedia Competition, a grassroots initiative designed to improve the coverage and depth of computational biology topics [4,5]. Entries are judged based on the quality of writing, figures, and depth of subject knowledge [6]. Winning entries have included important topics in computational biology, such as chromosome conformation capture [7], molecular phylogenetics [8], and the Ruzzo-Tompa algorithm [9]. Some educators have gone further, replacing the writing of traditional term papers with the rigorous editing or creation of new articles in Wikipedia, resulting in class assignments that enhance a vital, publicly accessible resource of field-specific information. Trainees at 24 United States universities participated in a pilot of the Wikipedia Education Program [10] during the 2010–2011 academic year. A 2012 article reviewed the experiences of four professors who participated, each assigning trainees to write Wikipedia articles on a course topic in place of a term paper [11]. Although each professor tailored assignments to her/his particular class, all found the assignments “extremely useful” in improving trainees’ learning. Similar positive outcomes have been reported in other studies, including larger introductory courses of over 100 PLOS COMPUTATIONAL BIOLOGY",2020,PLoS Comput. Biol.
"10 simple rules for teaching wet-lab experimentation to computational biology students, i.e., turning computer mice into lab rats","1 Joint Carnegie Mellon–University of Pittsburgh PhD Program in Computational Biology, Pittsburgh, Pennsylvania, United States of America, 2 Department of Computational and Systems Biology, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, United States of America, 3 Computational Biology Department, Carnegie Mellon University, Pittsburgh, Pennsylvania, United States of America",2020,PLoS Comput. Biol.
Putting benchmarks in their rightful place: The heart of computational biology,"Research in computational biology has given rise to a vast number of methods developed to solve scientific problems. For areas in which many approaches exist, researchers have a hard time deciding which tool to select to address a scientific challenge, as essentially all publications introducing a new method will claim better performance than all others. Not all of these claims can be correct. Equally, for this same reason, developers struggle to demonstrate convincingly that they created a new and superior algorithm or implementation. Moreover, the developer community often has difficulty discerning which new approaches constitute true scientific advances for the field. The obvious answer to this conundrum is to develop benchmarks—meaning standard points of reference that facilitate evaluating the performance of different tools—allowing both users and developers to compare multiple tools in an unbiased fashion.",2018,PLoS Comput. Biol.
Establishing a computational biology flipped classroom,"In a flipped classroom, students complete automated modules to replace a traditional lecture, allowing the time devoted for the lecture to be devoted to constructive tasks reinforcing student knowledge. Yet although the flipped classroom offers a compelling approach for fostering a constructivist, student-centric learning environment, research on the efficacy of flipped classes has been mixed. For that matter, is it possible to successfully flip a classroom in an advanced, heavily specialized course like a bioinformatics algorithms course? Over the past several years, the author has implemented a flipped version of such a course and will discuss some of the successes and pitfalls encountered.",2019,PLoS Comput. Biol.
"Women are underrepresented in computational biology: An analysis of the scholarly literature in biology, computer science and computational biology","While women are generally underrepresented in STEM fields, there are noticeable differences between fields. For instance, the gender ratio in biology is more balanced than in computer science. We were interested in how this difference is reflected in the interdisciplinary field of computational/quantitative biology. To this end, we examined the proportion of female authors in publications from the PubMed and arXiv databases. There are fewer female authors on research papers in computational biology, as compared to biology in general. This is true across authorship position, year, and journal impact factor. A comparison with arXiv shows that quantitative biology papers have a higher ratio of female authors than computer science papers, placing computational biology in between its two parent fields in terms of gender representation. Both in biology and in computational biology, a female last author increases the probability of other authors on the paper being female, pointing to a potential role of female PIs in influencing the gender balance.",2017,PLoS Comput. Biol.
Ten Simple Rules for Developing Usable Software in Computational Biology,"The rise of high-throughput technologies in molecular biology has led to a massive amount of publicly available data. While computational method development has been a cornerstone of biomedical research for decades, the rapid technological progress in the wet lab makes it difficult for software development to keep pace. Wet lab scientists rely heavily on computational methods, especially since more research is now performed in silico. However, suitable tools do not always exist, and not everyone has the skills to write complex software. Computational biologists are required to close this gap, but they often lack formal training in software engineering. To alleviate this, several related challenges have been previously addressed in the Ten Simple Rules series, including reproducibility [1], effectiveness [2], and open-source development of software [3, 4]. 
 
Here, we want to shed light on issues concerning software usability. Usability is commonly defined as “a measure of interface quality that refers to the effectiveness, efficiency, and satisfaction with which users can perform tasks with a tool” [5]. Considering the subjective nature of this topic, a broad consensus may be hard to achieve. Nevertheless, good usability is imperative for achieving wide acceptance of a software tool in the community. In many cases, academic software starts out as a prototype that solves one specific task and is not geared for a larger user group. As soon as the developer realizes that the complexity of the problems solved by the software could make it widely applicable, the software will grow to meet the new demands. At least by this point, if not sooner, usability should become a priority. Unfortunately, efforts in scientific software development are constrained by limited funding, time, and rapid turnover of group members. As a result, scientific software is often poorly documented, non-intuitive, non-robust with regards to input data and parameters, and hard to install. For many use cases, there is a plethora of tools that appear very similar and make it difficult for the user to select the one that best fits their needs. Not surprisingly, a substantial fraction of these tools are probably abandonware; i.e., these are no longer actively developed or supported in spite of their potential value to the scientific community. 
 
To our knowledge, software development as part of scientific research is usually carried out by individuals or small teams with no more than two or three members. Hence, the responsibility of designing, implementing, testing, and documenting the code rests on few shoulders. Additionally, there is pressure to produce publishable results or, at least, to contribute analysis work to ongoing projects. Consequently, academic software is typically released as a prototype. We acknowledge that such a tool cannot adhere to and should not be judged by the standards that we take for granted for production grade software. However, widespread use of a tool is typically in the interest of a researcher. To this end, we propose ten simple rules that, in our experience, have a considerable impact on improving usability of scientific software.",2017,PLoS Comput. Biol.
The ISCB Student Council Internship Program: Expanding computational biology capacity worldwide,"Education and training are two essential ingredients for a successful career. On one hand, universities provide students a curriculum for specializing in one’s field of study, and on the other, internships complement coursework and provide invaluable training experience for a fruitful career. Consequently, undergraduates and graduates are encouraged to undertake an internship during the course of their degree. The opportunity to explore one’s research interests in the early stages of their education is important for students because it improves their skill set and gives their career a boost. In the long term, this helps to close the gap between skills and employability among students across the globe and balance the research capacity in the field of computational biology. However, training opportunities are often scarce for computational biology students, particularly for those who reside in less-privileged regions. Aimed at helping students develop research and academic skills in computational biology and alleviating the divide across countries, the Student Council of the International Society for Computational Biology introduced its Internship Program in 2009. The Internship Program is committed to providing access to computational biology training, especially for students from developing regions, and improving competencies in the field. Here, we present how the Internship Program works and the impact of the internship opportunities so far, along with the challenges associated with this program.",2018,PLoS Comput. Biol.
